number,value,params_EMA_ALPHA,params_INCLUDE_5400_MR,params_INCLUDE_5500_MR,params_MR_K,params_MR_MAX_FRAC,params_MR_MM_LEVELS,params_MR_MM_LEVEL_SIZE,params_MR_TAKE_MAX,params_MR_TAKE_Z,params_OBI_CONFIRM_TAKE,params_OBI_SKEW_1,params_OBI_SKEW_2,params_OBI_SKEW_3,params_VAR_ALPHA,params_VEV_BASE_SIZE,user_attrs_params_hash,user_attrs_train/metric/cvar_5,user_attrs_train/metric/mean_pnl,user_attrs_train/metric/median_pnl,user_attrs_train/metric/p05_pnl,user_attrs_train/metric/sharpe,user_attrs_train/metric/std_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/HYDROGEL_PACK/mean,user_attrs_train/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_train/symbol/VEV_4000/mean,user_attrs_train/symbol/VEV_4500/mean,user_attrs_train/symbol/VEV_5000/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_5,user_attrs_val/metric/mean_pnl,user_attrs_val/metric/median_pnl,user_attrs_val/metric/p05_pnl,user_attrs_val/metric/sharpe,user_attrs_val/metric/std_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/HYDROGEL_PACK/mean,user_attrs_val/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_val/symbol/VEV_4000/mean,user_attrs_val/symbol/VEV_4500/mean,user_attrs_val/symbol/VEV_5000/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
324,1.027675210895704,0.0002186427767557806,True,False,0.32178037791065456,0.6071854736319463,1,15,34,2.4744824376973513,True,0.17962297493671575,0.4541715247701739,0.7103899562397099,0.014983934938934986,8,f3366ccbce29,-3926.4873852663936,12847.228416079557,13231.227134926221,-1138.4873445463334,1.4203239494223434,9045.280424444454,80,12847.228416079557,9045.280424444454,6326.185782164725,3509.8495696033788,1421.1111457593702,1050.7299120200003,539.3520065320823,-0.6601633793984241,-1469.0782171723622,12600.124931964787,12715.141961079931,1625.5054627380302,1.8347464120113641,6867.502151510813,20,12600.124931964787,6867.502151510813,6451.018559556444,3891.7420452466044,1211.284219516863,900.8052592050793,145.274848439795,1.687838590294128,COMPLETE,0.9687164764731462,13355.211734009137,9009.69322661223
426,0.947074020953063,0.00012917163399794992,True,False,0.30560112034467807,0.6777704953344986,1,17,13,2.3813996965267115,False,0.17342062313950904,0.43052310610274697,0.6557670262328846,0.04822100404961865,11,c2fc170652a0,-5387.767686157965,13377.152589220812,13926.114955340054,-1062.5827012741413,1.4858507895688595,9003.025527955186,80,13377.152589220812,9003.025527955186,6324.377128253285,4216.167741546636,1421.1111457593702,1050.7299120200003,364.7666616415196,-0.6088066178691167,-2028.002866787766,13556.720488425675,13097.82924279882,1200.3637425546453,1.7586809255009563,7708.459386721371,20,13556.720488425675,7708.459386721371,6488.525219361589,4740.59613602447,1211.284219516863,900.8052592050793,215.50965431767605,1.5558806388221798,COMPLETE,0.8030535538609382,12829.947284962538,9019.45375256996
468,0.9674081183343565,0.00019318817168761414,False,False,0.3113734388199364,0.7800786180380744,1,16,45,2.493333078487452,False,0.14882160010409257,0.38285679091099145,0.6097578080029187,0.048547578001520375,12,4c8974e3bd1f,-4783.328220167463,13276.153800482707,14072.754587579198,-2247.332513418431,1.4457409403511028,9182.941030402411,80,13276.153800482707,9182.941030402411,6387.604147282209,4129.702123056098,1420.636669758487,1050.7299120200003,287.4809483659109,-0.5729709173372058,-1701.4093835739259,13818.852498227896,13235.162403412598,408.60596460832454,1.710519974028955,8078.743720062504,20,13818.852498227896,8078.743720062504,6504.255857334816,5149.373375888616,1211.284219516863,900.8052592050793,53.1337862825221,1.5403790356715623,COMPLETE,0.7788549132755573,12840.551208834053,9175.621277084667
294,1.0427870627214848,0.00021452912091256507,True,False,0.311401529720035,0.7362884880929708,1,17,23,2.439783089556834,True,0.1605715060557478,0.46442414297856033,0.615226068736833,0.028846973112941637,12,0110e470e92a,-4171.748863768674,13333.46626147554,14339.709500311,-2092.341898133264,1.4599619490983522,9132.749158092827,80,13333.46626147554,9132.749158092827,6322.325786484282,4055.929369706539,1421.1111457593702,1050.7299120200003,483.37004750534726,-0.8170801171058029,86.90601145749224,12586.921198230015,12950.309709389985,1131.1189077796764,1.8511765786815384,6799.416837476836,20,12586.921198230015,6799.416837476836,6428.175928205667,3777.158566927349,1211.284219516863,900.8052592050793,269.49722437505585,1.8598671798272877,COMPLETE,0.770314306645619,12986.376592105276,9273.367533468238
672,0.9697441815338986,0.0001909718099120996,True,False,0.30191374319311803,0.8207566644865946,1,13,57,2.499613946298322,True,0.17631230544788035,0.4609338241604309,0.60435764187109,0.023763383192167583,9,37e36651b49c,-4511.97537048606,13047.372525094801,13780.638993614273,-1630.0372560210626,1.4209417185825046,9182.20103925904,80,13047.372525094801,9182.20103925904,6327.0898999000165,3712.073696858481,1421.1111457593702,1050.7299120200003,536.3678705569316,-0.9247349367624106,53.25356263841604,12747.749508284225,12233.893417664456,1480.034377549056,1.8891537620324677,6747.862330999153,20,12747.749508284225,6747.862330999153,6430.042663521106,3820.5778448690094,1211.284219516863,900.8052592050793,385.03952117216954,1.8944791182963092,COMPLETE,0.7647569286280723,12992.093747906396,9303.98449711924
399,1.0256658662324685,0.0001786161564128096,True,False,0.30040579590376,0.7030781371076604,1,14,34,2.485502902826199,True,0.16618637045958595,0.4692553787677978,0.6101683872118046,0.023983263468574097,9,31acfd093d03,-4548.507473222228,13314.01483301942,14219.572905994852,-1466.5916853320455,1.4805166135546912,8992.816906696327,80,13314.01483301942,8992.816906696327,6322.325786484282,3956.85982441822,1421.1111457593702,1050.7299120200003,562.9881643375487,-0.9419887376185647,52.137712244754766,12957.766935377667,13526.775602171449,1541.3961198652976,1.9624408326265577,6602.882858911376,20,12957.766935377667,6602.882858911376,6428.175928205667,4192.2998475377035,1211.284219516863,900.8052592050793,225.20168091235183,1.9676546038510332,COMPLETE,0.6740187242477169,13048.72338848458,9277.450768727436
751,1.0167655846029446,0.00024361834675253573,True,False,0.34417062699764006,0.6451092533835381,1,17,42,2.457572270150857,True,0.12029102541967443,0.5335963387724549,0.7011350014558311,0.023459725381087503,17,c375d2b4383c,-3733.3298622790326,13034.553162261587,12708.679066015078,-1777.2885501294713,1.390098570830848,9376.711433111514,80,13034.553162261587,9376.711433111514,6334.550083982726,3608.976288527767,1421.1111457593702,1050.7299120200003,619.1857319717228,-0.6857087710504282,219.37535444683544,12861.602815484432,13047.117076533257,238.10907348928384,1.6805368202086892,7653.270467401766,20,12861.602815484432,7653.270467401766,6461.03833717264,3554.012996018617,1211.284219516863,900.8052592050793,734.4620035712318,1.7024743556533728,COMPLETE,0.6587748711709854,12901.293517036205,9258.508136587592
710,0.9648648090678635,0.0002348869946335091,True,False,0.3304444299815344,0.6945603687079913,1,12,22,2.231961089233817,True,0.1429744525307868,0.48311679689985193,0.609836168827122,0.04934515095538402,14,b83d28fa7f79,-4581.452620963204,13298.371924960982,14154.001636678668,-2708.806983332083,1.423010071164184,9345.240904782495,80,13298.371924960982,9345.240904782495,6326.3264553498875,4153.822939999008,1421.1111457593702,1050.7299120200003,346.38147183271565,-0.6115524461567903,-130.9317507537453,13609.394562980295,13083.795720714748,-52.28856573983903,1.5895104303000283,8562.003937534057,20,13609.394562980295,8562.003937534057,6468.87008326098,4722.864822601126,1211.284219516863,900.8052592050793,305.5701783962455,1.5764172552246538,COMPLETE,0.5834372774678191,12642.873632939449,9621.504026901563
460,0.9862217488292452,0.00021972383108145776,True,False,0.3620740094588462,0.5928766799560162,1,13,15,2.2754735284716996,True,0.19610863646420468,0.4289088243747095,0.6408999711972473,0.022843051454593956,10,aa6a34e0dceb,-3936.4340089001303,12958.817926401656,13556.926604031065,-2063.164701401686,1.3798651497192582,9391.36547440031,80,12958.817926401656,9391.36547440031,6324.377128253285,3791.320685231805,1421.1111457593702,1050.7299120200003,371.279055137196,-0.9539976622116307,1500.1765487704133,13499.001401110692,14275.155260313537,1835.0432864902873,1.7902017561638346,7540.491653877753,20,13499.001401110692,7540.491653877753,6488.525219361589,4469.993563047923,1211.284219516863,900.8052592050793,428.39313997924035,1.940219411040876,COMPLETE,0.4857599670809203,12950.338403426058,9697.893685462517
634,1.001002043063108,0.00016129491672179383,True,False,0.3077101341499192,0.7364077696251631,1,13,47,2.3708164900160944,True,0.13835781792610946,0.41001710763539456,0.6041670743302566,0.02624563955854189,11,58b8b3a62ffe,-3846.574921652407,13338.99145254452,13598.118310679285,-1948.9236106012622,1.3856595352283487,9626.45665361537,80,13338.99145254452,9626.45665361537,6376.277826697248,3779.1114736348327,1421.003650400442,1050.7299120200003,711.8685897919967,-0.49786197851342884,-1617.2301875869603,13287.736462112593,14792.069092522062,430.0297538464447,1.6605870403352327,8001.830761867272,20,13287.736462112593,8001.830761867272,6506.794613298273,4662.1454181676145,1211.284219516863,900.8052592050793,6.7069519247642235,1.4988640215765368,COMPLETE,0.3751786377071551,12764.547754221425,9726.172337865351
