session_id,day,total_pnl,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,total_slope_per_step,total_r2,ASH_COATED_OSMIUM_slope_per_step,ASH_COATED_OSMIUM_r2,INTARIAN_PEPPER_ROOT_slope_per_step,INTARIAN_PEPPER_ROOT_r2
0,-2,100250.9873046875,20816.9560546875,79434.03125,10.078524598716006,0.9999130272422535,2.072999694933771,0.9978810057015536,8.005524903782236,0.9999996816697291
1,-1,99894.931640625,20528.900390625,79366.03125,10.03015801004913,0.9999203668337049,2.0302831872224636,0.9980673493674234,7.9998748228266665,0.999999787093451
2,-2,98714.765625,19228.734375,79486.03125,9.951885757895027,0.9999479784419921,1.9427419894507856,0.9986734911021307,8.00914376844424,0.9999997689040869
3,-1,100712.53125,21382.5,79330.03125,10.134812257882269,0.9997914710627328,2.132083288769347,0.9952928726800085,8.00272896911292,0.9999998343892266
4,-2,99147.33203125,19757.30078125,79390.03125,9.948056366441095,0.9999550401484528,1.9446767372858442,0.998840101835664,8.003379629155255,0.9999998649517022
5,-1,98230.453125,18819.421875,79411.03125,9.860590691879324,0.999948753574889,1.8549611074922248,0.9985546402247896,8.005629584387107,0.999999728376324
6,-2,99670.91796875,20229.88671875,79441.03125,10.01988070162336,0.9998797206986535,2.0148043553150643,0.9970346609112116,8.005076346308302,0.9999997526645726
7,-1,100037.9248046875,20706.8935546875,79331.03125,10.054886248957361,0.9999015231203621,2.0532147632209465,0.9976691786259646,8.001671485736415,0.9999997482589854
8,-2,98561.765625,19106.734375,79455.03125,10.03903525529887,0.9999446151940782,2.03050092542781,0.998662521289063,8.008534329871063,0.9999996967371553
9,-1,99507.87890625,20189.84765625,79318.03125,9.946747712031428,0.9998368702693161,1.9491610906406136,0.9958408794862594,7.99758662139081,0.9999997813748992
10,-2,99743.0380859375,20331.0068359375,79412.03125,10.086506701450126,0.9997008354038787,2.0820636441306366,0.9931155940710169,8.00444305731949,0.999999822829078
11,-1,99480.3671875,20117.3359375,79363.03125,10.046885801589777,0.9999433773062623,2.0438447289570916,0.9986235500580414,8.003041072632683,0.9999995442134253
12,-2,98525.1015625,19059.0703125,79466.03125,9.914486829351562,0.999925440830573,1.9089392954478173,0.9979511289667059,8.005547533903743,0.9999998000761661
13,-1,98727.24609375,19307.21484375,79420.03125,9.917593505571586,0.9999688828322932,1.9120412996385066,0.9991713563404239,8.005552205933082,0.9999996027215872
14,-2,98075.3193359375,18733.2880859375,79342.03125,9.896204289352715,0.9998206805782824,1.892134822395472,0.9951302546854064,8.004069466957242,0.9999997884593803
15,-1,98734.099609375,19284.068359375,79450.03125,9.992808824089261,0.999900459334962,1.9907618750096763,0.9974850172822433,8.002046949079585,0.9999998639229299
16,-2,97447.23828125,18016.20703125,79431.03125,9.826232748072405,0.9998656291131264,1.8210108855339944,0.9961489796230133,8.005221862538408,0.9999996846929566
17,-1,97944.685546875,18575.654296875,79369.03125,9.839575895035,0.9998112740325587,1.8393269106166983,0.9945783858615732,8.000248984418306,0.9999996822955188
18,-2,100742.4091796875,21286.3779296875,79456.03125,10.136574223794417,0.9999694538725697,2.1315526440100365,0.9993046943393264,8.005021579784382,0.9999997636061844
19,-1,99393.626953125,20018.595703125,79375.03125,10.002799626861696,0.9999607630839376,1.9898671090902875,0.9990648688937419,8.012932517771407,0.9999989006461338
20,-2,98650.396484375,19226.365234375,79424.03125,9.967930203905546,0.9998245801125463,1.9570376957142654,0.9954261610664465,8.01089250819128,0.9999997391007842
21,-1,97950.205078125,18436.173828125,79514.03125,9.810503888897486,0.9999549395471753,1.7980054848254532,0.9985284677894917,8.012498404072032,0.9999986998120157
22,-2,98840.1240234375,19388.0927734375,79452.03125,9.972895072108107,0.9999561725705106,1.9638265807402926,0.9988345576824743,8.009068491367811,0.9999996639668275
23,-1,100138.25,20822.21875,79316.03125,10.104041645192874,0.9999321804911199,2.1019148112692227,0.9984442155208206,8.002126833923647,0.9999998114756187
24,-2,98517.4453125,19065.4140625,79452.03125,9.958218110803669,0.9999583193555328,1.9547399889869448,0.9988973550210247,8.003478121816721,0.9999997484881202
25,-1,98535.365234375,19163.333984375,79372.03125,9.967172600119108,0.9999110418426991,1.9662291949378587,0.9977216074592408,8.000943405181248,0.9999998295665062
26,-2,100294.5107421875,20877.4794921875,79417.03125,10.054940429092467,0.9999133604221923,2.053463396901559,0.9979278644026386,8.00147703219091,0.9999997781345995
27,-1,99137.1259765625,19745.0947265625,79392.03125,10.011106256675978,0.9999291744331446,2.0077955730056014,0.9982713407814806,8.003310683670378,0.9999997781958647
28,-2,99580.248046875,20253.216796875,79327.03125,10.017527310708175,0.9999642925039733,2.014004664784768,0.9991348586194011,8.00352264592341,0.9999998563757995
29,-1,98559.2255859375,19112.1943359375,79447.03125,9.92154423364678,0.9997812700887796,1.9112758718274898,0.994146986674833,8.01026836181929,0.9999994992329937
30,-2,100531.146484375,21064.115234375,79467.03125,10.128574838081743,0.9999157714471434,2.1142339889801107,0.9981618457784781,8.014340849101629,0.9999985341657205
31,-1,99631.384765625,20006.353515625,79625.03125,10.03539875692032,0.9998920389340256,2.030268958163328,0.9973364728571475,8.005129798756986,0.9999999183041703
32,-2,99264.431640625,19731.400390625,79533.03125,9.907240903289527,0.9999271680620495,1.8937879541643208,0.9980267169741474,8.013452949125206,0.9999994176836491
33,-1,100376.6640625,20876.6328125,79500.03125,10.095361277274426,0.9998748560117542,2.0895024892991914,0.9971040243913613,8.005858787975233,0.9999997699746502
34,-2,100341.626953125,20865.595703125,79476.03125,10.161275347896632,0.9999221259143972,2.1490467280567294,0.9981562461193559,8.012228619839904,0.9999988987874658
35,-1,99020.388671875,19683.357421875,79337.03125,9.94681950007076,0.9998351930163959,1.9449280728401244,0.9957089507279275,8.001891427230639,0.9999997647615484
36,-2,98328.2900390625,18848.2587890625,79480.03125,9.911084770736776,0.9999086468780111,1.901836984587603,0.9975830506881651,8.009247786149174,0.99999961559682
37,-1,100384.5546875,21079.5234375,79305.03125,10.125587199435929,0.9999446761298859,2.1241540053341295,0.9987474570702259,8.001433194101796,0.9999996832308319
38,-2,99225.7333984375,19761.7021484375,79464.03125,9.996797955140593,0.9997903795500581,1.9881422541136646,0.9944978196578604,8.008655701026928,0.9999995633430556
39,-1,98831.90625,19452.875,79379.03125,9.995986481721763,0.9999538834419895,1.9916059323410473,0.9988853056610234,8.004380549380713,0.9999996880338611
40,-2,98890.37890625,19451.34765625,79439.03125,9.997861392453226,0.9998873868107343,1.9930591421587298,0.997117525519842,8.004802250294498,0.9999997632507373
41,-1,98258.404296875,18920.373046875,79338.03125,9.888349786570284,0.999809892542696,1.8843344446184231,0.9947827981431933,8.004015341951861,0.9999995726608082
42,-2,98285.0703125,18758.0390625,79527.03125,9.960360241027235,0.9999606842610643,1.9520418312596475,0.998987495704416,8.008318409767591,0.9999997478694183
43,-1,99317.03125,19887,79430.03125,9.903683607209597,0.9999076264047297,1.8980943596189617,0.9974964744962478,8.005589247590635,0.9999997267775219
44,-2,99064.5712890625,19614.5400390625,79450.03125,10.010524047813929,0.9999480533179158,2.003122725651064,0.9987170258573883,8.007401322162865,0.9999996743949826
45,-1,98950.6044921875,19556.5732421875,79394.03125,9.95191640311302,0.9999478397719611,1.9459268791006503,0.998598525244036,8.005989524012366,0.9999996280947667
46,-2,100230.49609375,20772.46484375,79458.03125,10.09698188027282,0.999942664275238,2.0867164019753464,0.9986643149005665,8.010265478297473,0.9999993793588974
47,-1,100051.265625,20517.234375,79534.03125,10.114031950161523,0.9998228202194865,2.09547797266393,0.9959766084515103,8.018553977497593,0.9999986144933836
48,-2,99610.03125,20255,79355.03125,10.057508092101,0.9999578581330505,2.05442521930923,0.9990091930680531,8.003082872791769,0.9999998826088417
49,-1,98111.541015625,18783.509765625,79328.03125,9.850000575770196,0.9999609923660149,1.847668523890982,0.9989051648996616,8.002332051879211,0.999999708587498
