number,value,params_HY_MM_BASE_SIZE,params_HY_OBI_SIZE_K_CONF,params_HY_OBI_SIZE_MAX,params_HY_OBI_SKEW_TICKS,params_HY_OBI_THRESH,params_HY_REVZ_HOLD,params_HY_REVZ_OBI_GATE,params_HY_REVZ_TAKE_SIZE,params_HY_REVZ_THRESHOLD,params_HY_REVZ_WINDOW,params_HY_SOFT_POS_FRAC,user_attrs_params_hash,user_attrs_train/metric/cvar_5,user_attrs_train/metric/mean_pnl,user_attrs_train/metric/mean_pnl[HYDROGEL_PACK],user_attrs_train/metric/median_pnl,user_attrs_train/metric/p05_pnl,user_attrs_train/metric/sharpe,user_attrs_train/metric/std_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/HYDROGEL_PACK/mean,user_attrs_train/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_train/symbol/VEV_4000/mean,user_attrs_train/symbol/VEV_4500/mean,user_attrs_train/symbol/VEV_5000/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_5,user_attrs_val/metric/mean_pnl,user_attrs_val/metric/mean_pnl[HYDROGEL_PACK],user_attrs_val/metric/median_pnl,user_attrs_val/metric/p05_pnl,user_attrs_val/metric/sharpe,user_attrs_val/metric/std_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/HYDROGEL_PACK/mean,user_attrs_val/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_val/symbol/VEV_4000/mean,user_attrs_val/symbol/VEV_4500/mean,user_attrs_val/symbol/VEV_5000/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
119,4.131332397784306,50,1.0992105905943605,121,2,0.11744483571181191,113,0.03797055578130073,0,2.234347969579291,242,0.7436702370546773,635e09553b25,-6910.250215816907,13075.944754369484,6286.645517107274,14117.750232078164,-579.2455497771272,1.7446183987522919,7495.0171130380595,80,13075.944754369484,7495.0171130380595,6286.645517107274,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.6916496010639994,-2350.580711144554,13434.405689573536,6500.923305190861,13867.827067828675,3452.506778417065,2.0738211537647357,6478.092705914022,20,13434.405689573536,6478.092705914022,6500.923305190861,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.822981998848306,COMPLETE,3.7210638083218184,11774.499227081333,7636.371963262014
211,3.9840746905657856,40,1.0420999030763352,57,1,0.1318393168596199,138,0.05251792814817529,0,2.247860246793059,245,0.7707716526781087,a19da1954417,-6881.230078325679,13056.221318141586,6266.922080879373,14117.750232078164,-1229.620459786413,1.7324230342776656,7536.393282594157,80,13056.221318141586,7536.393282594157,6266.922080879373,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.9308943847001832,-1640.5987875182836,13463.06266943423,6529.580285051554,13682.393546183532,3488.0058745983793,2.076247426639232,6484.324795155336,20,13463.06266943423,6484.324795155336,6529.580285051554,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.914969075265969,COMPLETE,3.7191251592956673,11783.749771849833,7667.576204287855
185,3.884998007551461,29,1.0863143756382319,112,3,0.16385312965583285,208,0.04132931943476749,0,1.9602522001698153,318,0.6787216457637254,45087d8acf4d,-6610.651833096455,13086.91798862851,6297.618751366296,14117.750232078164,-1943.7587027122722,1.7368375071308217,7534.9121232690995,80,13086.91798862851,7534.9121232690995,6297.618751366296,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-2.0649281545414446,-1640.5987875182836,13521.391821000016,6587.909436617339,13784.830996749148,3488.005874598379,2.087872852839856,6476.156726981081,20,13521.391821000016,6476.156726981081,6587.909436617339,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.949926162092906,COMPLETE,3.7140101498074407,11827.176745219911,7617.854344323594
272,4.241354455779222,49,0.6954894161443018,103,2,0.0785092467578887,229,0.10872639278114425,0,2.262180052265313,203,0.8048128546930744,1613b6abb534,-6515.1441642001,13140.5786654247,6351.27942816249,14117.750232078164,-434.05818727269684,1.7602388146625547,7465.2249205990865,80,13140.5786654247,7465.2249205990865,6351.27942816249,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.232682661074974,-4317.187123232237,13340.239828996491,6406.757444613814,14122.073110326703,3354.1764578126813,1.9788693213310895,6741.3445067828725,20,13340.239828996491,6741.3445067828725,6406.757444613814,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.474037116854196,COMPLETE,3.7029150913646127,11748.147285087034,7600.0389490281905
180,3.8333857856915614,28,0.5635546532270831,104,2,0.1889265463526447,161,0.11003216932837613,0,1.946921735375361,435,0.8320337069723011,ee6ad491e6d1,-6841.514854811039,13044.00672666778,6254.707489405567,14117.750232078164,-1947.2558494228745,1.7261755215687922,7556.593500302365,80,13044.00672666778,7556.593500302365,6254.707489405567,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-2.108536154666502,-1640.5987875182836,13433.369826169906,6499.88744178723,13882.240849153939,3488.0058745983793,2.115077429037057,6351.242579467075,20,13433.369826169906,6351.242579467075,6499.88744178723,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.941921940358063,COMPLETE,3.686867479995229,11812.173250082467,7655.969646312785
95,3.840176689060159,56,0.9776118647837799,127,1,0.19583550283544174,171,0.06225000003856121,0,2.4815251005694665,268,0.7186633705993558,457fc55384fb,-6841.764854811039,13060.17331844736,6270.874081185147,14201.211973453981,-1947.3058494228744,1.726534788225558,7564.384689792391,80,13060.17331844736,7564.384689792391,6270.874081185147,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-2.101745251297904,-1640.5987875182836,13433.369826169903,6499.88744178723,13882.240849153939,3488.005874598379,2.1150774290370564,6351.242579467075,20,13433.369826169903,6351.242579467075,6499.88744178723,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.941921940358063,COMPLETE,3.6596187893365206,11806.856856930512,7675.955301227529
270,4.256496096142369,47,0.7344144246278806,90,2,0.04961372059663531,168,0.11579468505183554,0,2.394392654833143,201,0.8469051663927176,225c143d4e08,-6409.617791303127,13154.575679164165,6365.276441901953,14372.166975841012,-434.05818727269684,1.759229012240218,7477.466314867676,80,13154.575679164165,7477.466314867676,6365.276441901953,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.1870757282068922,-4317.1871232322355,13313.091396751066,6379.609012368391,14068.185365584017,3354.1764578126813,1.9592634017243251,6794.947215894692,20,13313.091396751066,6794.947215894692,6379.609012368391,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.443571824349261,COMPLETE,3.6593479824790327,11733.236577351388,7609.7476998900465
274,4.256227254219261,47,0.8978539886389054,102,1,0.055934501078879435,189,0.13881200322961845,0,2.4276431107269594,229,0.827313774664618,a74905fd1944,-6409.617791303127,13154.425679164164,6365.126441901953,14372.166975841013,-435.00818727269683,1.7592101703171104,7477.461136319479,80,13154.425679164164,7477.461136319479,6365.126441901953,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.1873445701300005,-4317.187123232237,13313.091396751066,6379.609012368391,14068.185365584017,3354.1764578126813,1.9592634017243251,6794.947215894692,20,13313.091396751066,6794.947215894692,6379.609012368391,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.443571824349261,COMPLETE,3.659246604092905,11733.096577351389,7609.782154165044
252,3.8404787539634073,45,1.2142407864199187,52,2,0.19247752965221926,669,0.08376761024811066,0,2.4507895389660534,744,0.7889289900203545,2d24265a73d6,-6841.514854811039,13061.228783665001,6271.929546402788,14201.211973453981,-1947.2558494228745,1.7263796670417497,7565.675750830734,80,13061.228783665001,7565.675750830734,6271.929546402788,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-2.1014431863946568,-1640.5987875182827,13433.369826169906,6499.88744178723,13882.240849153939,3488.0058745983793,2.115077429037057,6351.242579467075,20,13433.369826169906,6351.242579467075,6499.88744178723,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,5.941921940358064,COMPLETE,3.655846122305573,11799.887403638386,7676.43931479863
238,3.6919237406571894,59,1.2118513166443825,122,1,0.06337717845835684,267,0.09904889326631656,1,2.4306009614531305,262,0.7707251331119297,bc40547850b8,-7588.5713640386375,12900.898416274347,6111.599179012134,14280.434951335359,-1780.9451300191486,1.683400307733808,7663.5951395550865,80,12900.898416274347,7663.5951395550865,6111.599179012134,4058.296134760596,1421.1111457593702,1050.7299120200003,259.16204472224564,-1.219663445627582,-7661.078664989858,13052.733901020485,6119.2515166378125,13777.805838950433,3670.531880724801,1.8025398315454055,7241.301230957953,20,13052.733901020485,7241.301230957953,6119.2515166378125,4542.50012624583,1211.284219516863,900.8052592050793,278.8927794149029,4.9115871862847715,COMPLETE,3.6283070181191093,11736.685014106235,7656.0529758253915
