trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.5,0.0,0.7,60,100,100,0.5,1.0,0.01,14961,582,11901,15543,11901,27444,8.92,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,535,-222,955,88,234,1773,79,17,1473,17,102,874,131,47,400,0,2,147,0,0,0,0,0,0
1,0.536,-0.2956,1.0865,20,100,282,0.653,4.0984,0.0052,14825,2582,12341,17407,12341,29748,8.98,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,234,508,1856,234,795,1836,169,416,1249,131,262,714,1,152,302,-55,47,105,0,0,0,0,0,0
2,0.536,-0.2956,1.0865,20,60,282,0.653,4.0984,0.0052,14601,1690,10747,16291,10747,27038,9.17,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,81,-50,140,184,501,1693,206,468,1332,49,253,818,-25,69,380,-5,48,105,0,0,0,0,0,0
3,0.536,-0.2956,1.0865,20,80,282,0.653,4.0984,0.0052,14306,2542,11463,16848,11463,28312,9.41,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,31,563,881,115,539,1759,27,473,1382,39,373,689,33,193,368,-50,0,105,0,0,0,0,0,0
4,0.536,-0.2956,1.0865,20,120,282,0.653,4.0984,0.0052,14620,2122,11788,16742,11788,28530,9.5,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,121,501,1861,-18,336,1293,235,419,1227,154,310,738,32,107,285,-15,48,105,0,0,0,0,0,0
5,0.536,-0.2956,1.0865,20,150,282,0.653,4.0984,0.0052,15426,2052,11620,17478,11620,29098,9.46,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,274,903,1491,410,438,1475,386,67,1132,156,116,863,104,127,277,-15,0,103,0,0,0,0,0,0
6,0.65,-0.2956,1.0865,20,100,282,0.653,4.0984,0.0052,14825,2594,12341,17419,12341,29760,9.64,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,234,508,1856,234,795,1836,169,416,1249,131,274,714,1,152,302,-55,47,105,0,0,0,0,0,0
7,0.45,-0.2956,1.0865,20,100,282,0.653,4.0984,0.0052,14825,2582,12341,17407,12341,29748,9.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,234,508,1856,234,795,1836,169,416,1249,131,262,714,1,152,302,-55,47,105,0,0,0,0,0,0
8,0.536,-0.2956,1.0865,15,100,282,0.653,4.0984,0.0052,14832,2562,12312,17394,12312,29706,9.55,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,224,508,1856,241,779,1794,166,424,1244,125,238,727,15,165,307,-50,47,105,0,0,0,0,0,0
9,0.536,-0.2956,1.0865,25,100,282,0.653,4.0984,0.0052,14814,2554,12329,17368,12329,29698,9.57,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,231,508,1856,234,776,1821,156,445,1234,122,233,714,8,145,320,-48,46,105,0,0,0,0,0,0
