trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
47,0.3605,-0.2982,0.7432,98,185,244,0.2059,2.5056,0.0339,14627,1584,12482,16211,12482,28694,9.8,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,59,644,1791,159,336,1882,204,10,1311,118,165,778,2,26,294,-26,2,147,0,0,0,0,0,0
48,0.6246,0.3037,1.4939,29,53,54,0.7331,2.9797,0.0103,16089,-766,8681,15323,8681,24004,9.8,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,682,-478,-4,559,-248,781,400,-186,836,219,-99,495,94,-71,215,24,-85,79,0,0,0,0,0,0
49,0.8697,0.4346,0.5169,130,218,176,0.5459,4.4993,0.0485,13618,916,11721,14534,11721,26256,9.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-276,244,1837,-91,15,1445,-34,-17,1080,3,194,678,-46,73,284,-49,6,118,0,0,0,0,0,0
50,0.6693,-0.2848,0.6525,70,263,275,0.7067,3.3619,0.0208,15397,592,12580,15989,12580,28570,9.61,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,265,506,1644,511,-209,1797,345,-69,1452,111,-56,904,54,17,357,0,2,147,0,0,0,0,0,0
51,0.7171,-0.4456,0.5428,38,210,239,0.8799,2.4383,0.0037,13174,1490,13214,14664,13214,27878,9.54,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,80,166,1637,-419,329,2099,-318,126,1626,-186,377,1057,-94,71,420,0,19,96,0,0,0,0,0,0
52,1.0983,-0.1191,0.9565,92,203,112,0.6927,0.7036,0.0101,13917,2104,12519,16021,12519,28540,9.53,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-72,74,1838,-57,812,1594,-44,285,1560,46,361,745,-19,160,362,-48,11,141,0,0,0,0,0,0
53,0.6228,-0.4964,0.8006,104,298,190,0.3235,0.655,0.0442,14508,966,12085,15474,12085,27560,9.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,121,263,1852,31,64,1394,149,142,1298,147,98,790,4,1,322,-55,-3,150,0,0,0,0,0,0
54,0.5614,-0.317,0.7689,41,171,121,0.5028,1.4044,0.0257,14776,590,12704,15366,12704,28070,9.55,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,538,126,1738,-2,-45,1852,52,64,1420,48,44,923,-16,0,342,45,0,150,0,0,0,0,0,0
55,0.3059,-0.2358,0.4987,122,200,60,0.394,1.8484,0.0319,13617,404,12016,14021,12016,26038,9.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-147,-82,1894,-189,-215,1495,-49,261,1009,-21,67,884,-38,16,357,-50,-44,98,0,0,0,0,0,0
56,0.4014,0.4576,1.3386,59,218,278,0.716,4.4559,0.0201,14353,2362,12099,16715,12099,28814,9.56,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,58,515,1672,31,570,1645,122,391,1276,51,265,795,-15,169,332,-5,50,100,0,0,0,0,0,0
