session_id,total_pnl,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position,ASH_COATED_OSMIUM_cash,INTARIAN_PEPPER_ROOT_cash,total_slope_per_step,total_r2,ASH_COATED_OSMIUM_slope_per_step,ASH_COATED_OSMIUM_r2,INTARIAN_PEPPER_ROOT_slope_per_step,INTARIAN_PEPPER_ROOT_r2
0,100144.9873046875,20710.9560546875,79434.03125,13,80,-109378,-1040558,10.064022244822983,0.9999198116331696,2.058497341040747,0.9980184918215147,8.005524903782236,0.9999996816697291
1,99824.931640625,20458.900390625,79366.03125,-11,80,130500,-1120626,10.020973730127286,0.9999150690064836,2.0210989073006207,0.9979236245951956,7.9998748228266665,0.999999787093451
2,98639.765625,19153.734375,79486.03125,29,80,-270873,-1040506,9.940478426842954,0.9999504749005589,1.931334658398712,0.9987245419600782,8.00914376844424,0.9999997689040869
3,100557.53125,21227.5,79330.03125,64,80,-618934,-1120662,10.114331044167455,0.9997646068800442,2.1116020750545346,0.9946078046417494,8.00272896911292,0.9999998343892266
4,98990.33203125,19600.30078125,79390.03125,13,80,-110403,-1040602,9.926993601454468,0.9999505652579354,1.9236139722992165,0.9987022856054519,8.003379629155255,0.9999998649517022
5,98181.453125,18770.421875,79411.03125,-5,80,68793,-1120581,9.854113812558555,0.9999496357938907,1.848484228171456,0.9985710449483379,8.005629584387107,0.999999728376324
6,99548.91796875,20107.88671875,79441.03125,12,80,-99876,-1040551,10.003073443315287,0.9998820976126684,1.9979970970069918,0.9970548559947441,8.005076346308302,0.9999997526645726
7,99822.9248046875,20491.8935546875,79331.03125,-43,80,450468,-1120661,10.022392451004423,0.9999031752559162,2.0207209652680085,0.9976519531596847,8.001671485736415,0.9999997482589854
8,98520.765625,19065.734375,79455.03125,66,80,-640546,-1040537,10.032250959351028,0.9999470449832021,2.023716629479967,0.9987148106230497,8.008534329871063,0.9999996967371553
9,99382.87890625,20064.84765625,79318.03125,-21,80,230029,-1120674,9.931393120295882,0.9998169524152642,1.9338064989050678,0.9952666375179383,7.99758662139081,0.9999997813748992
10,99695.0380859375,20283.0068359375,79412.03125,21,80,-189731,-1040580,10.078474789699971,0.9997034506547172,2.0740317323804818,0.9931348961859658,8.00444305731949,0.999999822829078
11,99434.3671875,20071.3359375,79363.03125,-20,80,219987,-1120629,10.04164699828739,0.9999369444622009,2.0386059256547036,0.9984613107198608,8.003041072632683,0.9999995442134253
12,98482.1015625,19016.0703125,79466.03125,8,80,-61002,-1040526,9.908319395191887,0.999923126152443,1.902771861288143,0.997877062869203,8.005547533903743,0.9999998000761661
13,98660.24609375,19240.21484375,79420.03125,-44,80,459218,-1120572,9.908929483553914,0.9999660097995714,1.9033772776208344,0.99909569337165,8.005552205933082,0.9999996027215872
14,97829.3193359375,18487.2880859375,79342.03125,-19,80,208482,-1040650,9.859555960276232,0.99982861310404,1.8554864933189885,0.9951953323335823,8.004069466957242,0.9999997884593803
15,98480.099609375,19030.068359375,79450.03125,59,80,-570947,-1120542,9.956461870989791,0.9999182520127232,1.9544149219102067,0.9978754863121961,8.002046949079585,0.9999998639229299
16,97383.23828125,17952.20703125,79431.03125,22,80,-202001,-1040561,9.816778481083862,0.9998740409684828,1.8115566185454517,0.9963645558177673,8.005221862538408,0.9999996846929566
17,97798.685546875,18429.654296875,79369.03125,77,80,-751572,-1120623,9.819284627108088,0.9998168209100899,1.8190356426897856,0.9946430721672695,8.000248984418306,0.9999996822955188
18,100584.4091796875,21128.3779296875,79456.03125,-3,80,51131,-1040536,10.116089512360821,0.9999698840667122,2.1110679325764394,0.9993045451176797,8.005021579784382,0.9999997636061844
19,99272.626953125,19897.595703125,79375.03125,50,80,-479763,-1120617,9.98757096033741,0.9999626330720033,1.9746384425660009,0.9990741851044778,8.012932517771407,0.9999989006461338
20,98534.396484375,19110.365234375,79424.03125,-58,80,599187,-1040568,9.951928783678056,0.9998198595950137,1.9410362754867772,0.9952373300172207,8.01089250819128,0.9999997391007842
21,97771.205078125,18257.173828125,79514.03125,15,80,-131781,-1120478,9.786554291637598,0.999948263583395,1.774055887565573,0.9982746870955038,8.012498404072032,0.9999986998120157
