trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.5,0.0,0.7,60,100,100,0.5,1.0,0.01,14961,582,11901,15543,11901,27444,8.76,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,535,-222,955,88,234,1773,79,17,1473,17,102,874,131,47,400,0,2,147,0,0,0,0,0,0
1,0.536,-0.4,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2942,12312,17617,12312,29930,8.99,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,807,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
2,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,14675,2946,12312,17621,12312,29934,9.22,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
3,0.536,-0.4,1.0865,40,100,200,0.653,4.0984,0.0052,14675,2946,12312,17621,12312,29934,9.28,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
4,0.536,-0.4,1.0865,50,100,200,0.653,4.0984,0.0052,14675,2946,12312,17621,12312,29934,9.43,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
5,0.5,-0.4,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2942,12312,17617,12312,29930,9.75,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,807,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
6,0.6,-0.4,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2946,12282,17621,12282,29902,9.56,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,807,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
7,0.7,-0.4,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2946,12282,17621,12282,29902,9.57,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,807,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
8,0.536,-0.4,1.0865,30,80,200,0.653,4.0984,0.0052,15248,2122,11359,17370,11359,28730,10.1,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,790,269,934,166,199,1630,92,688,1299,72,454,827,-25,105,281,42,6,109,0,0,0,0,0,0
9,0.536,-0.4,1.0865,30,120,200,0.653,4.0984,0.0052,14553,2428,11753,16981,11753,28734,9.63,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,168,301,1753,79,760,1785,99,400,1040,91,362,541,5,154,246,0,49,109,0,0,0,0,0,0
10,0.536,-0.4,1.0865,30,150,200,0.653,4.0984,0.0052,14643,2670,11772,17313,11772,29086,9.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,169,644,1925,23,544,1378,294,554,1131,60,333,703,1,147,247,-15,47,109,0,0,0,0,0,0
11,0.536,-0.4,1.0865,30,100,180,0.653,4.0984,0.0052,14454,2926,12145,17380,12145,29524,9.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,189,654,1665,77,543,1745,83,629,1361,-30,506,643,24,192,343,0,0,109,0,0,0,0,0,0
12,0.536,-0.4,1.0865,30,100,220,0.653,4.0984,0.0052,14774,2768,11932,17542,11932,29474,9.69,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,231,506,1835,139,735,1649,180,556,1113,167,355,633,-49,240,327,-5,-25,96,0,0,0,0,0,0
13,0.536,-0.4,1.0865,30,100,240,0.653,4.0984,0.0052,14724,2846,11747,17570,11747,29318,9.9,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,161,434,1737,71,979,1521,219,420,1105,140,373,734,22,193,268,0,46,103,0,0,0,0,0,0
14,0.536,-0.45,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2942,12285,17617,12285,29902,9.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1925,161,807,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
15,0.536,-0.5,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2942,12285,17617,12285,29902,9.5,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1925,161,807,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
16,0.536,-0.35,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2938,12312,17613,12312,29926,9.54,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,803,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
17,0.536,-0.4,1.0865,30,100,200,0.653,4.0984,0.003,14526,2264,10490,16790,10490,27280,9.64,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-210,285,451,232,612,1508,364,411,1227,90,358,650,-7,150,277,-54,47,98,0,0,0,0,0,0
18,0.536,-0.4,1.0865,30,100,200,0.653,4.0984,0.008,15240,2004,11330,17244,11330,28574,9.61,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,661,628,1041,215,385,1555,132,352,1297,63,159,695,-18,30,365,76,49,98,0,0,0,0,0,0
19,0.536,-0.4,1.0865,30,100,200,0.653,4.0984,0.015,15761,1384,11546,17145,11546,28692,9.55,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,584,-148,684,603,566,1703,96,227,1411,223,253,929,144,111,416,0,-26,124,0,0,0,0,0,0
