trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,SCALP_MAX_PER_TICK_5000,SCALP_MAX_PER_TICK_5100,SCALP_MAX_PER_TICK_5200,SCALP_MAX_PER_TICK_5300,SCALP_MAX_PER_TICK_5400,SCALP_MAX_PER_TICK_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
45,0.8795,1.0267,0.9405,1.4292,1.0777,0.9802,86,89,90,61,32,61,14675,2982,12365,17657,12365,30022,29.11,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
46,1.1426,1.2611,1.2228,0.3056,0.8236,1.2147,29,53,80,72,16,95,14660,3022,12260,17682,12260,29942,29.4,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,215,593,1904,161,811,1824,72,524,1145,106,449,665,0,238,336,-5,5,107,0,0,0,0,0,0
47,1.1839,0.5571,0.2248,0.4957,0.7525,0.9832,20,24,88,56,41,90,14679,3052,12264,17731,12264,29996,35.63,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,788,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
48,0.8807,0.5328,1.4651,0.4238,1.4781,0.8393,43,35,97,78,28,51,14675,2962,12365,17637,12365,30002,31.49,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
49,1.1698,0.6414,0.4877,1.3049,1.1712,0.9686,62,79,64,16,50,24,14690,3046,12263,17736,12263,29998,31.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,593,1904,161,811,1824,72,542,1145,117,453,666,27,240,340,-5,5,105,0,0,0,0,0,0
50,0.2845,0.3501,1.3282,1.3254,0.4198,0.6724,26,24,46,55,95,47,14675,2908,12348,17583,12348,29930,33.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,497,1988,161,788,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
51,0.9425,1.3926,0.4672,1.1911,1.1702,1.4882,68,89,82,86,46,14,14675,2982,12354,17657,12354,30012,25.88,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,96,0,0,0,0,0,0
52,1.204,1.1495,1.2719,0.7151,0.2569,0.2174,30,14,79,93,71,56,14688,3034,12282,17722,12282,30004,24.2,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,170,785,1842,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
53,1.3876,0.7711,0.9061,1.0545,1.1152,1.3415,91,39,28,34,45,83,14598,2988,11816,17586,11816,29402,32.08,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,536,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
54,0.4523,1.4869,1.3547,1.2483,0.8302,0.4239,49,85,10,42,71,88,14709,2936,12302,17645,12302,29948,38.97,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,106,529,1135,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
