number,value,params_MAKE_SPREAD,params_SOFT_POS_CAP,params_TAKE_EDGE,user_attrs_metric/cvar_5,user_attrs_metric/mean_pnl,user_attrs_n_sessions,user_attrs_symbol/ASH_COATED_OSMIUM/mean,user_attrs_total_pnl_mean,user_attrs_total_pnl_std,state
0,13055.134928385418,5,28,2,10325.4912109375,12022.585807291667,15,12022.585807291667,12022.585807291667,884.6781316956854,COMPLETE
3,10702.607389322917,7,18,4,8356.0322265625,9867.004166666668,15,9867.004166666668,9867.004166666668,519.0643022348581,COMPLETE
2,8340.418424479167,4,25,6,6496.3671875,7690.781705729167,15,7690.781705729167,7690.781705729167,470.741305748114,COMPLETE
1,7771.116373697917,2,37,4,5780.0966796875,7193.106705729167,15,7193.106705729167,7193.106705729167,583.229006205139,COMPLETE
