number,value,params_BASE_MM_SIZE,params_HYDROGEL_REVZ_HOLD,params_HYDROGEL_REVZ_SIZE,params_HYDROGEL_REVZ_THRESHOLD,params_MR_K,params_MR_MM_LEVEL_SIZE,params_OBI_SKEW_T1_THRESH,params_OBI_SKEW_T1_TICKS,params_OBI_SKEW_T2_THRESH,params_OBI_SKEW_T2_TICKS,user_attrs_params_hash,user_attrs_train/metric/cvar_5,user_attrs_train/metric/mean_pnl,user_attrs_train/metric/median_pnl,user_attrs_train/metric/p05_pnl,user_attrs_train/metric/sharpe,user_attrs_train/metric/std_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/HYDROGEL_PACK/mean,user_attrs_train/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_train/symbol/VEV_4000/mean,user_attrs_train/symbol/VEV_4500/mean,user_attrs_train/symbol/VEV_5000/mean,user_attrs_train/symbol/VEV_5100/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_5,user_attrs_val/metric/mean_pnl,user_attrs_val/metric/median_pnl,user_attrs_val/metric/p05_pnl,user_attrs_val/metric/sharpe,user_attrs_val/metric/std_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/HYDROGEL_PACK/mean,user_attrs_val/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_val/symbol/VEV_4000/mean,user_attrs_val/symbol/VEV_4500/mean,user_attrs_val/symbol/VEV_5000/mean,user_attrs_val/symbol/VEV_5100/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
300,1.4687674654863927,46,418,150,2.459643381223547,0.051057071712341195,13,0.054795677895366914,0,0.7742814440216867,3,b65f38e2271f,-4602.403091833318,5926.481965984682,6206.991863205638,-165.6891121588701,1.3694974005030303,4327.486831159975,80.0,5926.481965984682,4327.486831159975,-1099.268180140696,4461.958201448337,1257.3961280837266,876.9330503477631,295.3755546356821,134.08721160986835,-1.5992047591842948,1644.4227862991056,6291.747431394057,6218.973875863373,1796.8909021852796,1.9149770224643157,3285.5472194112444,20.0,6291.747431394057,3285.5472194112444,-1070.9424865275068,4634.657533543892,1568.0258150976363,917.6047439122949,102.09012082384041,140.31170454390184,3.0679722246706875,COMPLETE,1.9727105513103915,5884.249513338171,3646.1660644334474
335,1.4206897530740281,47,488,147,2.473631840443171,0.04933077774667645,14,0.09236549917703812,0,0.5235013112434508,1,62e3cd761aa3,-4881.473966087102,6092.029932212283,6302.635975484713,79.08798102363404,1.2838165602567833,4745.249532373832,80.0,6092.029932212283,4745.249532373832,-777.5122459325323,4329.338715430015,1252.4048543105146,882.9070985955074,255.76140718129213,149.13010262748594,-1.4835784407373647,831.698991796371,5980.397262908457,5758.757282783885,1682.8403108539762,1.8864905061701145,3170.117868787819,20.0,5980.397262908457,3170.117868787819,-1095.6998088328965,4437.274839541433,1593.4033606768512,873.5519449144637,84.94310173111039,86.92382487749593,2.904268193811393,COMPLETE,1.8765645543448306,5828.076773188459,3618.8691633573303
198,0.8593441011560269,41,387,147,2.4729528179433435,0.04150132507784037,11,0.19598778738487765,0,0.6329022658231563,1,adf5269c42ef,-6215.2328453439595,5945.782167008366,6688.511710711846,-1737.7274439062091,1.2338346577708281,4818.945658205634,80.0,5945.782167008366,4818.945658205634,-1009.4717720979127,4360.507099688191,1293.0732167825452,906.707736266206,266.37370554705296,128.59218082228213,-1.9479927086129893,696.2548425423693,6189.814601387784,5785.317077596619,2172.678787819115,1.6841941078121776,3675.2382475845093,20.0,6189.814601387784,3675.2382475845093,-1043.7236334020558,4523.056024341435,1583.496533497993,907.9911295062242,128.86482563106196,90.12972181312654,2.807336809769016,COMPLETE,1.5667255410990553,6046.845244242889,4232.02854406744
272,0.6664844427773129,49,467,149,2.3953346297026163,0.04100490951313705,17,0.0528143125249438,0,0.7639295295114554,2,90a185d0c0fb,-5662.7475881807295,5420.026319579842,5572.408799901075,-2270.371590262309,1.1448308876898636,4734.34668636241,80.0,5420.026319579842,4734.34668636241,-1636.5629991063583,4481.008980486513,1262.2049390160769,902.0608218103189,293.4121749415502,117.90240243174136,-1.5160112775747214,-724.0460856165919,5745.2402585500895,6008.396631836054,-470.4594269165115,1.7744681884419868,3237.7251370138724,20.0,5745.2402585500895,3237.7251370138724,-1847.1859246635063,4876.26258670735,1538.4262118263616,907.475162119986,126.47840657888898,143.78381598100884,2.1824957203520343,COMPLETE,1.5607181687152498,5574.522764565721,4059.292471551419
373,0.7599541089936733,44,481,147,2.4502374298857363,0.07269180451601279,13,0.1148411072076928,0,0.7209959998011893,4,0a39b7d91c76,-6744.361519651333,5717.297583193419,6332.421615217871,-1481.839814333498,1.1590284655061642,4932.83621010688,80.0,5717.297583193419,4932.83621010688,-1311.2536496267335,4374.422303786624,1319.047785804735,896.7982096805542,291.36166406641814,146.92126948182067,-1.4369442451875232,-15.293174536698643,5751.781740836592,5049.6192557520335,785.0901716754596,1.4662314632161149,3922.833389634341,20.0,5751.781740836592,3922.833389634341,-1565.9352368451007,4637.713176769197,1553.4379309456194,906.5808933333071,101.15425311577393,118.83072351779656,2.1968983541811964,COMPLETE,1.5164775622063582,5736.612866286018,3906.9491151060965
357,0.46625437812587855,40,496,150,2.4847577253986888,0.05647346573848516,17,0.12373129720895502,0,0.7764415598379901,4,9aadda63c5c9,-6358.605396243329,6412.137842989728,6677.326722815798,-3503.78473601707,1.1616580806546526,5519.815124409212,80.0,6412.137842989728,5519.815124409212,-790.3012446298933,4546.022302406466,1305.946245387408,908.8776283500316,293.95566519343004,147.63724628228547,-3.0232513835995114,1257.6751760468185,6743.082826843279,6723.738292034858,3249.201340640793,2.039589693308222,3306.0977161077794,20.0,6743.082826843279,3306.0977161077794,-1038.978993473521,5084.474979462178,1565.2754954367942,914.5947098917437,107.40965053740683,110.30698498867578,3.48950576172539,COMPLETE,1.3964898353609019,6371.002074778187,4650.798913331382
289,0.6101358350569405,43,447,149,2.4227793983440624,0.09768189820850065,13,0.0642821800989115,0,0.7259504312141974,1,25fd02b016f1,-6594.0666064343395,5372.621550787011,5606.890644182319,-1826.209188241837,1.0975221782700408,4895.228230609022,80.0,5372.621550787011,4895.228230609022,-1451.9712419544533,4261.500643150123,1285.1639881359374,893.4785465963381,282.72060236988165,101.72901248918296,-1.740445918552418,758.3522526599172,5942.005086927992,5573.780811175495,1099.218352634996,1.460702349123568,4067.909585065868,20.0,5942.005086927992,4067.909585065868,-1379.898342151965,4565.249412978099,1608.5477066971923,909.8777021173362,112.08696715628002,126.14164013104819,2.3505817536093585,COMPLETE,1.2754883815754081,5418.248835062571,3927.738665801347
307,0.9309579923226523,43,464,148,2.431715167677164,0.07056662624300383,12,0.058209038630094766,0,0.7653872588517721,2,72aac55b310e,-5637.732432285269,5511.887333508354,5834.336325686181,-1361.5079793897428,1.2158440980782923,4533.383303188452,80.0,5511.887333508354,4533.383303188452,-1356.3603977313487,4297.555159994978,1272.173242577917,901.6070455979831,270.82201581097587,126.09026725784864,-1.3207456430952247,-482.52848275732913,5902.135047376645,5535.90988200663,1204.1245558092378,1.468918067794098,4018.015147870019,20.0,5902.135047376645,4018.015147870019,-1441.3309822217166,4565.3142616249625,1617.2260546218888,918.3335954303827,113.44345442317513,129.1486634979522,2.251703635417877,COMPLETE,1.2659240237786895,5428.53029032524,3996.1021236838596
157,0.38464033535564,48,450,139,2.4162437253608835,0.06065536382118662,10,0.12766679820441204,0,0.7932512934035362,2,46d23f9e3d2d,-7033.044733572129,5525.813200836017,5708.978624481906,-2582.773530304032,1.0519181946900575,5253.082633924942,80.0,5525.813200836017,5253.082633924942,-1392.3233794949672,4326.421487294525,1261.8237692532846,894.5422381526689,298.60336010856565,136.74572552194186,-1.5186804144908836,-935.652224468638,5429.65957713529,5453.717347537446,569.3569577701513,1.340048623025828,4051.8377347197497,20.0,5429.65957713529,4051.8377347197497,-1895.8285302945944,4561.669961573412,1612.8655158429156,924.1739046961771,97.17399686840432,129.60472844897603,1.9033207498465237,COMPLETE,1.2181449108966327,5367.502777614493,4180.217421315014
237,0.663753239177501,41,473,150,2.4302343678401432,0.07142708196726692,10,0.1128327854677671,0,0.6230990328708705,3,a5add6b6b736,-5834.803728594522,5369.07489738425,5731.069145922098,-2246.4478581068806,1.1596156939199043,4630.046769404189,80.0,5369.07489738425,4630.046769404189,-1432.2151311204825,4234.815179824855,1277.1755019313011,900.5379963501324,267.6577220476871,121.1036283507578,-1.2338515225279971,-486.4877642782476,5529.213809571861,5600.0694347756225,24.781777188107608,1.3883758017385153,3982.505170896968,20.0,5529.213809571861,3982.505170896968,-1667.3569738838476,4433.724547102996,1608.0714139580982,911.0727897981403,134.49727545477185,109.20475714170195,1.897604761705498,COMPLETE,1.161929353429297,5360.098517545034,4013.9311194106726
