trial,VEV_BASE_SIZE,MR_MM_LEVEL_SIZE,HY_MM_BASE_SIZE,BASE_MM_SIZE,MR_K,MR_MAX_FRAC,VEV_SOFT_POS_FRAC,HY_SOFT_POS_FRAC,VEV_SIZES_MILD_BIG,VEV_SIZES_MILD_SMALL,VEV_SIZES_STRONG_BIG,VEV_SIZES_STRONG_SMALL,VEV_SIZES_EXTREME_BIG,VEV_SIZES_EXTREME_SMALL,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
32,4,16,90,43,0.0447,0.5576,0.5363,0.4157,12,16,23,7,25,8,16476,3079,9169,19555,9169,28724,26.41,1,11105,-954,1340,1506,-949,-825,3334,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
33,4,28,98,56,0.0789,0.6705,0.4257,0.4705,29,17,37,10,32,10,16375,3246,9186,19621,9186,28806,25.94,1,11105,-962,1340,1406,-774,-808,3334,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
34,5,12,116,56,0.0744,0.6411,0.7789,0.6335,33,9,36,7,75,2,9906,2864,11788,12770,11788,24558,24.44,1,4608,-1376,-24,1520,-742,3158,3246,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
35,4,32,37,77,0.0612,0.4655,0.7433,0.3922,19,15,26,4,46,4,16375,3254,9186,19629,9186,28814,24.46,1,11105,-954,1340,1406,-774,-808,3334,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
36,11,38,70,42,0.0696,0.6339,0.7384,0.4637,26,16,41,7,64,1,8958,3543,7712,12501,7712,20214,24.64,1,4081,-753,-119,1406,-686,-808,2941,2437,2579,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
37,7,15,61,15,0.0407,0.6555,0.7908,0.4266,25,15,20,9,60,9,9850,3287,7879,13137,7879,21016,24.65,1,4566,-746,50,1506,-949,-825,3246,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
38,1,9,110,56,0.076,0.4285,0.7523,0.6098,37,14,55,10,67,6,6866,3093,12156,9959,12156,22116,24.07,1,3107,308,1572,1520,-742,3158,1708,982,1378,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
39,20,23,64,71,0.0939,0.3442,0.4107,0.3482,28,7,46,10,25,1,8192,3392,7301,11584,7301,18885,24.22,1,3419,-693,-383,1504,-896,-940,2738,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
40,6,32,78,66,0.028,0.3766,0.4633,0.3063,26,13,27,8,39,7,,,,,,,14.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,24,120,72,0.0576,0.3688,0.5115,0.3872,15,11,51,10,41,6,,,,,,,11.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
