trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
16,0.4772,0.5358,1.2045,0.6276,0.5852,0.2954,14675,2932,12312,17607,12312,29918,28.3,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
17,0.3172,0.9576,0.5159,0.9817,0.6832,0.7892,14675,2950,12323,17625,12323,29948,186.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
18,1.4469,0.8288,0.9469,1.3265,0.4377,0.4004,14598,3006,11816,17604,11816,29420,53.45,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
19,1.381,1.2631,0.5243,0.4467,1.1613,1.4225,14598,3018,11816,17616,11816,29432,89.46,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
20,0.4556,1.4352,1.3468,0.9846,0.7479,0.335,14675,2932,12312,17607,12312,29918,70.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
21,0.2503,1.4515,0.5099,1.116,0.5341,1.2708,14675,2950,12292,17625,12292,29916,30.0,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
22,0.9754,0.5815,0.4281,1.1365,0.2894,0.4969,14675,2982,12283,17657,12283,29940,20.33,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
23,0.9272,1.3081,0.9986,0.5643,1.3926,0.4652,14675,2962,12365,17637,12365,30002,21.16,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
24,0.2215,0.55,0.7794,0.2786,0.4291,0.6794,14675,2946,12292,17621,12292,29914,20.81,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
25,0.9438,0.3711,0.6708,1.3582,1.4746,1.054,14675,2982,12365,17657,12365,30022,20.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
26,1.0986,0.9598,0.3825,0.2456,0.2233,1.3833,14675,3042,12283,17717,12283,30000,19.79,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
27,1.1113,1.4516,0.2276,1.027,0.8269,1.1496,14675,3044,12283,17719,12283,30002,47.53,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
28,0.6146,1.4992,0.2978,0.9099,1.1581,1.3703,14675,2950,12282,17625,12282,29906,59.46,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
29,1.1582,1.1148,1.2312,1.3895,0.6574,1.0907,14679,3026,12264,17705,12264,29970,64.96,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,593,1904,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
30,1.3711,1.3324,0.7423,1.2277,1.3225,0.9446,14598,3022,11816,17620,11816,29436,77.21,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
31,1.0124,0.697,0.9575,0.9915,0.3043,1.0312,14675,3044,12283,17719,12283,30002,61.09,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
